"order_id","order_date","required_date","shipped_date","order_status","customer_name","customer_city","store_name","staff_name","product_name","brand_name","category_name","quantity","list_price","discount","total_amount"
1,"2016-01-01","2016-01-03","2016-01-03",4,"Johnathan Velazquez","Pleasanton","Santa Cruz Bikes","Mireya Copeland","Electra Townie Original 7D EQ - Women's - 2016","Electra","Cruisers Bicycles",1,"599.99","0.20","479.9920"
1,"2016-01-01","2016-01-03","2016-01-03",4,"Johnathan Velazquez","Pleasanton","Santa Cruz Bikes","Mireya Copeland","Trek Remedy 29 Carbon Frameset - 2016","Trek","Mountain Bikes",2,"1799.99","0.07","3347.9814"
1,"2016-01-01","2016-01-03","2016-01-03",4,"Johnathan Velazquez","Pleasanton","Santa Cruz Bikes","Mireya Copeland","Surly Straggler - 2016","Surly","Cyclocross Bicycles",2,"1549.00","0.05","2943.1000"
1,"2016-01-01","2016-01-03","2016-01-03",4,"Johnathan Velazquez","Pleasanton","Santa Cruz Bikes","Mireya Copeland","Electra Townie Original 7D EQ - 2016","Electra","Cruisers Bicycles",2,"599.99","0.05","1139.9810"
1,"2016-01-01","2016-01-03","2016-01-03",4,"Johnathan Velazquez","Pleasanton","Santa Cruz Bikes","Mireya Copeland","Trek Fuel EX 8 29 - 2016","Trek","Mountain Bikes",1,"2899.99","0.20","2319.9920"
2,"2016-01-01","2016-01-04","2016-01-03",4,"Jaqueline Cummings","Huntington Station","Baldwin Bikes","Marcelene Boyer","Electra Townie Original 7D EQ - Women's - 2016","Electra","Cruisers Bicycles",1,"599.99","0.07","557.9907"
2,"2016-01-01","2016-01-04","2016-01-03",4,"Jaqueline Cummings","Huntington Station","Baldwin Bikes","Marcelene Boyer","Electra Townie Original 7D EQ - 2016","Electra","Cruisers Bicycles",2,"599.99","0.05","1139.9810"
3,"2016-01-02","2016-01-05","2016-01-03",4,"Joshua Robertson","Patchogue","Baldwin Bikes","Venita Daniel","Surly Wednesday Frameset - 2016","Surly","Mountain Bikes",1,"999.99","0.05","949.9905"
3,"2016-01-02","2016-01-05","2016-01-03",4,"Joshua Robertson","Patchogue","Baldwin Bikes","Venita Daniel","Electra Townie Original 7D EQ - Women's - 2016","Electra","Cruisers Bicycles",1,"599.99","0.05","569.9905"
4,"2016-01-03","2016-01-04","2016-01-05",4,"Nova Hess","Duarte","Santa Cruz Bikes","Genna Serrano","Ritchey Timberwolf Frameset - 2016","Ritchey","Mountain Bikes",2,"749.99","0.10","1349.9820"
5,"2016-01-03","2016-01-06","2016-01-06",4,"Arla Ellis","Utica","Baldwin Bikes","Marcelene Boyer","Surly Straggler - 2016","Surly","Cyclocross Bicycles",2,"1549.00","0.05","2943.1000"
5,"2016-01-03","2016-01-06","2016-01-06",4,"Arla Ellis","Utica","Baldwin Bikes","Marcelene Boyer","Pure Cycles Vine 8-Speed - 2016","Pure Cycles","Cruisers Bicycles",1,"429.00","0.07","398.9700"
5,"2016-01-03","2016-01-06","2016-01-06",4,"Arla Ellis","Utica","Baldwin Bikes","Marcelene Boyer","Electra Townie Original 7D EQ - 2016","Electra","Comfort Bicycles",1,"599.99","0.07","557.9907"
6,"2016-01-04","2016-01-07","2016-01-05",4,"Sharyn Hopkins","Baldwinsville","Baldwin Bikes","Marcelene Boyer","Pure Cycles Western 3-Speed - Women's - 2015/2016","Pure Cycles","Cruisers Bicycles",1,"449.00","0.07","417.5700"
6,"2016-01-04","2016-01-07","2016-01-05",4,"Sharyn Hopkins","Baldwinsville","Baldwin Bikes","Marcelene Boyer","Electra Townie Original 21D - 2016","Electra","Cruisers Bicycles",2,"549.99","0.05","1044.9810"
6,"2016-01-04","2016-01-07","2016-01-05",4,"Sharyn Hopkins","Baldwinsville","Baldwin Bikes","Marcelene Boyer","Electra Townie Original 7D EQ - Women's - 2016","Electra","Cruisers Bicycles",1,"599.99","0.10","539.9910"
6,"2016-01-04","2016-01-07","2016-01-05",4,"Sharyn Hopkins","Baldwinsville","Baldwin Bikes","Marcelene Boyer","Surly Wednesday Frameset - 2016","Surly","Mountain Bikes",2,"999.99","0.07","1859.9814"
6,"2016-01-04","2016-01-07","2016-01-05",4,"Sharyn Hopkins","Baldwinsville","Baldwin Bikes","Marcelene Boyer","Trek Conduit+ - 2016","Trek","Electric Bikes",2,"2999.99","0.07","5579.9814"
7,"2016-01-04","2016-01-07","2016-01-05",4,"Laureen Paul","Bellmore","Baldwin Bikes","Marcelene Boyer","Electra Moto 1 - 2016","Electra","Cruisers Bicycles",1,"529.99","0.07","492.8907"
7,"2016-01-04","2016-01-07","2016-01-05",4,"Laureen Paul","Bellmore","Baldwin Bikes","Marcelene Boyer","Surly Wednesday Frameset - 2016","Surly","Mountain Bikes",1,"999.99","0.10","899.9910"
7,"2016-01-04","2016-01-07","2016-01-05",4,"Laureen Paul","Bellmore","Baldwin Bikes","Marcelene Boyer","Pure Cycles Vine 8-Speed - 2016","Pure Cycles","Cruisers Bicycles",2,"429.00","0.10","772.2000"
8,"2016-01-04","2016-01-05","2016-01-05",4,"Leslie Higgins","Saratoga Springs","Baldwin Bikes","Venita Daniel","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Electra","Children Bicycles",1,"269.99","0.05","256.4905"
8,"2016-01-04","2016-01-05","2016-01-05",4,"Leslie Higgins","Saratoga Springs","Baldwin Bikes","Venita Daniel","Electra Townie Original 7D EQ - Women's - 2016","Electra","Cruisers Bicycles",2,"599.99","0.07","1115.9814"
9,"2016-01-05","2016-01-08","2016-01-08",4,"Neil Mccall","San Carlos","Santa Cruz Bikes","Mireya Copeland","Trek Slash 8 27.5 - 2016","Trek","Mountain Bikes",2,"3999.99","0.10","7199.9820"
10,"2016-01-05","2016-01-06","2016-01-06",4,"Alane Munoz","Yonkers","Baldwin Bikes","Marcelene Boyer","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Electra","Cruisers Bicycles",1,"269.99","0.10","242.9910"
11,"2016-01-05","2016-01-08","2016-01-07",4,"Tarra Guerrero","Auburn","Baldwin Bikes","Venita Daniel","Trek Remedy 29 Carbon Frameset - 2016","Trek","Mountain Bikes",1,"1799.99","0.05","1709.9905"
11,"2016-01-05","2016-01-08","2016-01-07",4,"Tarra Guerrero","Auburn","Baldwin Bikes","Venita Daniel","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Electra","Children Bicycles",2,"269.99","0.10","485.9820"
11,"2016-01-05","2016-01-08","2016-01-07",4,"Tarra Guerrero","Auburn","Baldwin Bikes","Venita Daniel","Electra Townie Original 7D EQ - 2016","Electra","Cruisers Bicycles",2,"599.99","0.20","959.9840"
12,"2016-01-06","2016-01-08","2016-01-09",4,"Marvin Mullins","San Diego","Santa Cruz Bikes","Mireya Copeland","Trek Fuel EX 8 29 - 2016","Trek","Mountain Bikes",2,"2899.99","0.10","5219.9820"
12,"2016-01-06","2016-01-08","2016-01-09",4,"Marvin Mullins","San Diego","Santa Cruz Bikes","Mireya Copeland","Surly Straggler 650b - 2016","Surly","Cyclocross Bicycles",1,"1680.99","0.05","1596.9405"
13,"2016-01-08","2016-01-11","2016-01-11",4,"Patience Clayton","Niagara Falls","Baldwin Bikes","Marcelene Boyer","Electra Cruiser 1 (24-Inch) - 2016","Electra","Cruisers Bicycles",1,"269.99","0.10","242.9910"
13,"2016-01-08","2016-01-11","2016-01-11",4,"Patience Clayton","Niagara Falls","Baldwin Bikes","Marcelene Boyer","Pure Cycles Vine 8-Speed - 2016","Pure Cycles","Cruisers Bicycles",2,"429.00","0.05","815.1000"
13,"2016-01-08","2016-01-11","2016-01-11",4,"Patience Clayton","Niagara Falls","Baldwin Bikes","Marcelene Boyer","Electra Townie Original 7D EQ - Women's - 2016","Electra","Cruisers Bicycles",2,"599.99","0.10","1079.9820"
13,"2016-01-08","2016-01-11","2016-01-11",4,"Patience Clayton","Niagara Falls","Baldwin Bikes","Marcelene Boyer","Electra Townie Original 7D EQ - 2016","Electra","Cruisers Bicycles",2,"599.99","0.05","1139.9810"
14,"2016-01-09","2016-01-11","2016-01-12",4,"Maribel William","Torrance","Santa Cruz Bikes","Genna Serrano","Surly Ice Cream Truck Frameset - 2016","Surly","Mountain Bikes",1,"469.99","0.07","437.0907"
15,"2016-01-09","2016-01-10","2016-01-12",4,"Ellsworth Michael","Carmel","Baldwin Bikes","Venita Daniel","Electra Townie Original 21D - 2016","Electra","Cruisers Bicycles",2,"549.99","0.07","1022.9814"
15,"2016-01-09","2016-01-10","2016-01-12",4,"Ellsworth Michael","Carmel","Baldwin Bikes","Venita Daniel","Trek Remedy 29 Carbon Frameset - 2016","Trek","Mountain Bikes",1,"1799.99","0.07","1673.9907"
15,"2016-01-09","2016-01-10","2016-01-12",4,"Ellsworth Michael","Carmel","Baldwin Bikes","Venita Daniel","Pure Cycles Western 3-Speed - Women's - 2015/2016","Pure Cycles","Cruisers Bicycles",2,"449.00","0.05","853.1000"
15,"2016-01-09","2016-01-10","2016-01-12",4,"Ellsworth Michael","Carmel","Baldwin Bikes","Venita Daniel","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Electra","Children Bicycles",2,"299.99","0.20","479.9840"
16,"2016-01-12","2016-01-15","2016-01-15",4,"Lea Key","Banning","Santa Cruz Bikes","Genna Serrano","Trek Remedy 29 Carbon Frameset - 2016","Trek","Mountain Bikes",1,"1799.99","0.20","1439.9920"
16,"2016-01-12","2016-01-15","2016-01-15",4,"Lea Key","Banning","Santa Cruz Bikes","Genna Serrano","Electra Cruiser 1 (24-Inch) - 2016","Electra","Children Bicycles",1,"269.99","0.05","256.4905"
16,"2016-01-12","2016-01-15","2016-01-15",4,"Lea Key","Banning","Santa Cruz Bikes","Genna Serrano","Electra Cruiser 1 (24-Inch) - 2016","Electra","Cruisers Bicycles",2,"269.99","0.07","502.1814"
